"","x"
"1",1372.48445057924
"2",1208.03160808572
"3",961.667112497244
"4",804.052511461353
"5",716.196977506644
"6",648.894219565675
"7",605.750553496727
"8",581.606808996928
"9",558.037134201219
"10",541.84749961774
"11",543.950700175072
"12",610.044464384756
"13",639.890478146174
"14",780.289900866111
"15",553.125676691459
"16",540.141598015457
"17",790.653481060174
"18",744.732465738459
"19",715.069406172392
"20",760.389835328388
"21",661.41571375684
"22",830.13387228726
"23",778.565643817701
"24",818.403094255377
"25",721.183551541877
"26",681.186201859791
"27",625.541825070246
"28",594.094771227077
"29",578.602392428449
"30",567.305009023455
"31",559.678232343691
"32",559.223506097703
"33",555.642530769062
"34",547.825997464462
"35",553.501640202275
"36",620.321609800621
"37",644.138769949351
"38",769.384209053994
"39",577.392795308745
"40",562.564360049848
"41",781.671573758915
"42",740.413581573
"43",714.481167871571
"44",753.505156109433
"45",663.477853937442
"46",785.524761673058
"47",700.554427095751
"48",781.600423482803
"49",689.963044819282
"50",666.269558821006
"51",631.423954167033
"52",609.761659228976
"53",597.996218275517
"54",589.069844253382
"55",583.289265472019
"56",580.633521350774
"57",577.564486998072
"58",574.642857609383
"59",575.730167200749
"60",592.959420367687
"61",599.774220749977
"62",633.837621309776
"63",580.341576958124
"64",576.698458777123
"65",636.814066513653
"66",625.628242663915
"67",618.511792511273
"68",629.293985580977
"69",605.017458791135
"70",641.629065611758
"71",623.199472890068
"72",639.776264970458
"73",615.443190231295
"74",607.559591170633
"75",596.305909122586
"76",589.646845268081
"77",586.200183424435
"78",583.634138808354
"79",581.939113993763
"80",581.487059041563
"81",580.637300001167
"82",579.356143804303
"83",580.129347380104
"84",589.904890268243
"85",593.491571503907
"86",612.08329146024
"87",583.389319642734
"88",581.247355825574
"89",613.851763220647
"90",607.732684886219
"91",603.873569594581
"92",609.692003128981
"93",596.359807455022
"94",614.995851946332
"95",603.093437614086
"96",614.294019733541
"97",600.78073751034
"98",597.044984173558
"99",591.602602555033
"100",588.270438892166
"101",586.486470936396
"102",585.140413864019
"103",584.263671965247
"104",583.910488933056
"105",583.452626619421
"106",582.94503902134
"107",583.178958974944
"108",586.509491250445
"109",587.784328728146
"110",594.257360712228
"111",584.168113846461
"112",583.452494429326
"113",594.844831400491
"114",592.717092621701
"115",591.368561855526
"116",593.40739696521
"117",588.781681301276
"118",595.534451628441
"119",591.752303511687
"120",595.229358841639
"121",590.570082571763
"122",589.158097345804
"123",587.12586072856
"124",585.90636282558
"125",585.266161178166
"126",584.78681306848
"127",584.472059737328
"128",584.369988895143
"129",584.209411311622
"130",583.995063273388
"131",584.113428049928
"132",585.666567728192
"133",586.244447196332
"134",589.219386028381
"135",584.612917364078
"136",584.27475065428
"137",589.498075609864
"138",588.51935019142
"139",587.901090960194
"140",588.834104154058
"141",586.703212155355
"142",589.725384605176
"143",587.875790301565
"144",589.603857062573
"145",587.44846706814
"146",586.833787391702
"147",585.942065326428
"148",585.399858665008
"149",585.111500437856
"150",584.89448795734
"151",584.752753973284
"152",584.699413227382
"153",584.625971858802
"154",584.539036778258
"155",584.582074677687
"156",585.17477788785
"157",585.399124428251
"158",586.544438504447
"159",584.763908718735
"160",584.635881008331
"161",586.649703775038
"162",586.273102271706
"163",586.03472785513
"164",586.39486203166
"165",585.575651796022
"166",586.758109671429
"167",586.071998203363
"168",586.706966203353
"169",585.880439797
"170",585.635810713065
"171",585.282654504299
"172",585.06965462047
"173",584.957271513864
"174",584.872957263212
"175",584.817709973338
"176",584.798673388047
"177",584.770315827586
"178",584.734148136851
"179",584.753365672934
"180",585.009779948934
"181",585.105764381452
"182",585.598432569143
"183",584.83449511618
"184",584.778821011409
"185",585.64427747523
"186",585.482224209084
"187",585.379783156557
"188",585.534438012117
"189",585.181724805453
"190",585.685094608279
"191",585.382732902057
"192",585.66430720287
"193",585.30785822759
"194",585.204850759085
"195",585.05567947033
"196",584.965240163562
"197",584.917278379503
"198",584.881223263493
"199",584.857647743328
"200",584.849041835331
"201",584.836866802537
"202",584.822059945347
"203",584.829589521134
"204",584.932032359607
"205",584.970645614086
